,Title,Description
10,Manugistics Fires Its President,"Manugistics Group Inc. disclosed Monday that it fired its president, as the maker of business software tries to reverse slipping sales, rising costs and a falling stock price. &lt;BR&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"
11,US genocide charge is Bush election ploy - Sudan FM (AFP),AFP - Sudan's foreign minister rejected US charges of genocide in the western region of Darfur as a reelection ploy by US President George W. Bush.
12,"Netflix CEO Rates Blockbuster, Amazon Threats (Reuters)",Reuters - Netflix Inc chief\executive Reed Hastings said on Friday that Blockbuster Inc has\more to lose in the war for online DVD renters than emerging\foe Amazon.com Inc.
13,Fake goods tempting young adults,"Young people are increasingly happy to buy pirated goods or illegal download content from the net, a survey shows."
14,RealNetworks signs up Red Flag Linux,Digital media company signs up a new Linux partner to distribute its audio and video player.
15,Stop croc water swimming: coroner,"THE public still did not appreciate how frighteningly dangerous crocodiles were, even after the fatal mauling of a German tourist two years ago, a coroner said today."
16,O'Brien Sues OSU for  #36;3.4 Million (AP),"AP - Former Ohio State basketball coach Jim O'Brien sued the school, claiming he is owed at least  #36;3.4 million because his firing violated terms of his contract."
17,Construction Spending Hits All-Time High,"WASHINGTON - Construction spending surged in August to the highest level on record, while manufacturing grew at a slower pace in September, offering mixed signals about the economy's strength.    The Commerce Department reported Friday that the value of buildings put in place clocked in at a seasonally adjusted annual rate of \$1.02 trillion, a record high..."
18,"Hewitt Wins Long Island, Sends U.S. Open Warning"," COMMACK, New York (Reuters) - Former world number one  Lleyton Hewitt hammered out a warning to his rivals for next  week's U.S. Open as he demolished Peru's Luis Horna 6-3, 6-1,  to win the Long Island Cup on Sunday."
19,Alaska Brown Bears Gather for Annual Salmon Feast,"Each summer, the falls at McNeil River turn into a mosh pit of bears. Instead of thumping music, it's the sound of salmon slapping their way up the falls at the McNeil River State Game Sanctuary that sends the bears into a fishing frenzy."
20,MLB Notebook: Johnson trade still in the works,"The New York Yankees, Arizona and Los Angeles spent yesterday trying to put the finishing touches on the megadeal that would move All-Stars Randy Johnson, Shawn Green and Javier Vazquez."
21,MSN #39;s download service expanding,Microsoft #39;s has launched its MSN music download service in eight more European countries as the software giant bids to takes on Apple #39;s market leading iTunes.
22,US Army to withhold portion of Halliburton payments,The billing dispute between the US Army and Houston-based Halliburton Co. continues as the Army on Tuesday said it would withhold paying 15 percent of future invoices from Halliburton. 
23,Geminid Meteor Shower Could Be Spectacular,DENVER -- Coloradans willing to brave the nighttime cold and get away from the lights of the city could be in for a spectacular show Monday night.
24,The U.S. Gives Mia Hamm a Golden Farewell," ATHENS (Reuters) - The United States gave Hall of Famer Mia  Hamm the perfect send-off Thursday, beating Brazil 2-1 to win  Olympic gold in the women's soccer tournament."
25,US Considering Incentives for Iran,"Resigning Iranian Vice-President Mohammad Ali Abtahi, center, and newly appointed Vice-President Majid Ansari, second left, attend a meeting of the central council of their party President Mohammad Khatami accepted Abtahi #39;s resignation, in Tehran, Iran "
26,In Our View: Sanctions not enough for Sudan,"While most of the country #39;s attention has been focused on Iraq, a human-rights crisis has been unfolding in north Africa. In Darfur, Sudan, more than 50,000 people have been killed and 1.2 million displaced "
27,Apex court permits night viewing of Taj Mahal:,"India News: New Delhi, Nov 25 : The Supreme Court Thursday permitted the Uttar Pradesh government to allow visitors to view the Taj Mahal on five moonlit nights a month."
28,Krispy Kreme #39;s hot streak cools,The niche doughnuts that rose quickly in popularity are feeling the weight of the low-carb craze and mass marketing. By Deb Kollars and Edie Lau -- Bee Staff Writers.
29,"EU Wants to Cut Greenhouse Gases in Cars, Shoes (Reuters)","Reuters - The European Union's battle against\global warming will force companies to change automobile air\conditioning systems and restrict the sale of air-cushioned\sports shoes, European Union ministers said on Thursday."
30,Solaris will be available for free,"At yesterday #39;s official launch of the new Solaris 10 operating system in San Jose, Calif., Sun executives said Solaris will be issued next January under an  quot;open-source quot; licensing plan similar to that used by the rival operating system Linux and the "
31,Man dies in blast as Chechens go to polls,"OISKHARA, Russia - A man tried to bring a suspicious package into a polling station in Chechnya on Sunday, then died in an explosion as he ran away, the head of the Chechen election commission said on Russian television."
32,Barghouthi Pulls Out of Palestinian Election,"Jailed Palestinian uprising leader Marwan Barghouthi has pulled out of a Jan. 9 presidential election to succeed Yasser Arafat, a close aide said on Sunday."
33,Afghanistan takes first difficult steps toward democracy,The election for president in Afghanistan may have brought us one small step closer to worldwide democracy. At least the people there left no doubt that they wanted to vote.
34,Cards power way to victory,"First came the swing, then the launch and then the sound of 52,347 turning Busch Stadium into a deafening caldron. Then, having given the Cardinals an eighth-inning home run that "
35,Swedish ambassador says diplomats in North Korean saw no sign of &lt;b&gt;...&lt;/b&gt;,"Video footage of the area where North Korea said a huge explosion occurred showed dozens of workers swarming around a dusty construction site resembling a large dam project, while a foreign diplomat who visited the site said Friday he found no sign the "
36,Pesky's patience rewarded,"Those were tears of joy he didn't even try to hide amid the wild celebration in the Red Sox' locker room last night. Sure, some champagne had been poured on him, but those were Johnny Pesky's emotions on display as he witnessed a scene that he never had a doubt he'd see."
37,Srichaphan sets up Federer semi,"Thailand #39;s Paradorn Srichaphan on Friday lined up a semifinal clash with world number one Roger Federer as he handed out a 6-2, 7-5 defeat to Dutchman Dennis van Scheppingen at the Thailand Open."
38,Energy giants pair to pursue liquefied gas plant,"Two of Canada #39;s biggest energy companies, TransCanada Corp. and Petro-Canada Inc., want to build a \$660 million liquefied natural gas plant in northeastern Quebec to meet North Americans #39; insatiable demand for the fuel."
39,Comparisons inevitable in draft-day rematch,"It will be a Saturday afternoon soap opera, with the man the Giants vowed to have and to hold and the one they left at the altar crossing paths on the floor of Giants Stadium."
40,Lions WR Roy Williams misses game in Dallas,"Detroit Lions receiver Roy Williams missed Sunday #39;s game against the Dallas Cowboys because of an ankle injury. Williams leads the Lions with 24 catches for 362 yards and five touchdowns, having taken over "
41,New Florida Coach Meyer Names Coaches (AP),"AP - Florida coach Urban Meyer nearly filled out his coaching staff Monday, keeping two assistants from Ron Zook's staff and bringing four with him from Utah."
42,Knicks tighten defense in time,"When Stephon Marbury practically scraped the sky with a fourth-quarter jumper that barely beat the shot-clock buzzer and gave the Knicks a 12-point lead with 1:59 to play Saturday afternoon, Madison Square Garden began to empty."
43,Medical Experts Fear Charley's Aftermath,"PUNTA GORDA, Fla. - Until the electricity hums again and the debris is cleared, health officials are worried that there could be more deaths and injuries in Hurricane Charley's aftermath than during the storm itself..."
44,Edwards Calls for Crackdown on Meth Labs (AP),AP - Democratic vice presidential nominee John Edwards called Monday for tighter restrictions on the sale of nonprescription cold medicines that could be used to make methamphetamine.
45,Coke to alter sales practices,"Coca-Cola on Friday agreed to alter its sales practices in some European markets, an offer likely to bring to an end a five-year investigation by the European Commission into whether the soft drinks giant was stifling retail competition."
46,Bungle against Bengals won #39;t do,"You don #39;t lose to the Bengals. It simply isn #39;t done. Not on Monday night, not on Sunday afternoon, not on Oct. 25, not on the 12th of Never."
47,Syria under Security Council Scrutiny ... A Gift from Syria to &lt;b&gt;...&lt;/b&gt;,Syria has turned herself into cannon fodder in the campaigns directed against her during the American presidential election battle-a result of her miscalculations in the Lebanese presidential elections.
48,IAEA Won't Guarantee Iran Probe Deadline,"VIENNA, Austria - The head of the U.N. nuclear watchdog agency said Tuesday that he cannot guarantee his probe of Iran's suspect nuclear activities will be complete by November, the deadline sought by the United States and its European allies..."
49,Lufthansa reaches wages agreement,German airline Lufthansa reaches a deal with unions on pay and working hours for its ground staff.
50,Harmison rated best Test bowler,"ENGLAND fast bowler Steve Harmison is the world #39;s number one bowler, according to the latest PwC Test ratings. The Durham quick #39;s match-winning nine-wicket haul in the fourth and final Test against the West "
51,"Optus, Vodafone in 3G link","TELCOS Optus and Vodafone Australia will combine to create a national 3G mobile network, just three weeks after rival Telstra Corp entered a similar deal."
52,"Fan slapped with fine, five-year ban for racially abusing Yorke","LONDON (AFP) - A British court slapped a 1,000-pound (1,880-dollar) fine and a five-year football ground ban on a fan for hurling monkey chants at Birmingham City striker Dwight Yorke."
53,Beheadings Mark Haiti's Latest Misery," PORT-AU-PRINCE, Haiti, Oct. 7 -- At first it looked like an old glove, black and rubbery and flattened in traffic. But a closer look revealed toenails."
54,"Alitalia, Unions Sign Deal to Split Company",Italy #39;s troubled Alitalia airline has reached a deal with eight of nine unions to split the state-controlled firm in two in a plan to stave off bankruptcy.
55,Ohio St. Forces Turnovers to Top N.C. St. (AP),"AP - The Luckeyes' magic is alive and well. Ohio State made up for a shoddy day offensively by forcing five turnovers, and Mike Nugent tied a school record with five field goals to give the ninth-ranked Buckeyes a 22-14 victory over North Carolina State on Saturday."
56,No Offense: Sox Fall To Rays,"The Sox, who entered play Tuesday with 28 wins in their last 35 games, continued their gradual descent back to Earth by falling to the Devil Rays, 5-2, in front of another sellout crowd of 35,118 at Fenway Park."
57,Iraq Again In The Forefront as Australian Election Approaches,"Australia #39;s election campaign is in its final stages, with the country #39;s role in Iraq again a major talking point. Australian Prime Minister John Howard says he does not need to apologize for joining last "
58,TV Reporter May Be Jailed for Refusing to Disclose Source,The reporter was convicted of criminal contempt for refusing to disclose who leaked him an F.B.I. videotape on an investigation of government corruption in Providence.
59,"Indian software services, BPO face worker shortage","BANGALORE, INDIA - India's software services and business process outsourcing (BPO) industries could face a shortage of skilled workers in the coming years, according to the National Association of Software and Service Companies (NASSCOM) in Delhi."
60,Castroneves captures Indy race pole,FONTANA (California): Brazils Helio Castroneves dominated qualifying with a lap at 217.479 miles per hour to put his Dallara/ Toyota on the pole for the Toyota Indy 400 on Sunday.
61,Orange to ship Wi-Fi Pocket 'in October',"&lt;strong&gt;Update&lt;/strong&gt; M2000 same as XDA IIs, VPA III, MDA III"
62,"Jeter, Yankees Look Dashing Once Again","Here it comes. You can feel the rumbling of anticipation now. Just two games into the American League playoffs, we already have a colossal collision coming into focus."
63,Oil Back Up to  #36;55 on U.S. Winter Stocks (Reuters),Reuters - Oil prices charged back up to  #36;55 a\barrel on Wednesday as a fresh fall in U.S. heating oil stocks\stoked worries over winter supplies.
64,Hollywood Steps Into DVD Format Fight (AP),"AP - Three top Hollywood studios are throwing their considerable weight behind one of two competing formats for the next generation of DVDs, citing in part the need to stem piracy."
65,Update 1: Asset Writedown Leads to \$3.4B MCI Loss,"MCI Inc., one of the nation #39;s biggest long-distance operators, lost \$3.4 billion in the third quarter of 2004 due to a previously announced asset writedown of \$3."
66,Detroit 'African Town' Plan Stirs Debate (AP),"AP - Detroit has a Greektown section that tempts visitors with moussaka and baklava, and a Mexicantown neighborhood with Latin American groceries and restaurants. Now, politicians are pushing for a business district identified with the city's biggest minority group  #151; blacks."
67,"Bank of America to cut 4,500 jobs","Bank of America Corp. (NYSE: BAC) plans to cut about 2.5 percent, or 4,500 jobs from its workforce, and it #39;s unclear how those cuts will affect Austin employees."
68,Virginia runs to victory over Clemson,"CHARLOTTESVILLE, Va. - Facing the first real test to its dominance this season, Virginia showed Clemson - and the nation - that its numbers haven #39;t just been built against inferior competition."
69,NBA Suspends Bucks' Fizer for One Game (AP),AP - The NBA suspended Milwaukee Bucks forward Marcus Fizer on Tuesday for one game following his guilty plea on a gun charge.
70,"Taiwan offers to cut troops by 100,000","Taiwanese President Chen Shui-bian Wednesday offered to cut the island #39;s troops by 100,000 to ease military tensions with mainland China."
71,UN Mission Sends Military Team to Investigate Fighting in Eastern &lt;b&gt;...&lt;/b&gt;,"Following reports of fighting between different factions of former members of the Armed Forces of the Democratic Republic of the Congo (FARDC) and weapons distribution to civilians in North Kivu province, the United Nations mission today said it sent a "
72,Eriksson and Gerrard add to England woe,ENGLAND #39;S troubled build-up to their Wales showdown continued yesterday with Steven Gerrard #39;s injury diagnosis and fresh uncertainty over Sven-Goran Eriksson #39;s position.
73,Oil and Economy Cloud Stocks' Outlook (Reuters),Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market this week during the depth of the\summer doldrums.
74,Iran and Europe Negotiate to Try to Save Nuclear Agreement,Iran and its European partners struggled to salvage their agreement committing Tehran to freeze an important part of its nuclear program.
75,Season Off to Slow Start,"The nation's retailers had a disappointing start to the holiday season, reporting sluggish sales for November after a much hoped-for surge in Thanksgiving weekend business failed to materialize."
76,A Wedding That Won't Leave You Broke,"If you're planning a spring or summer wedding, you're probably sweating the details now."
77,Nov launch for dual-screen Game Boy,"SEEKING to head off a challenge from video-game rival Sony Corp, Nintendo said on Tuesday that its dual-screen (DS) Game Boy player will hit stores in the United States just in time for the crucial holiday shopping season."
78,Montana Moves to Resume Bison Hunting (AP),"AP - On a spring day in 1990, there was chaos near the border of Yellowstone National Park. Bison were running. Hunters were facing off with activists who were trying to keep them from killing the bison. And D.J. Schubert was in the thick of it, leading the protesters."
79,Three Georgian soldiers killed in breakaway region clashes (AFP),"AFP - Three Georgian soldiers have been killed and five wounded in clashes in Georgia's separatist region of South Ossetia, Rustavi 2 television reported, quoting an unnamed official with the Georgian interior ministry."
80,"Stars and Stripes Are Gone, but There Is Plenty to Salute","ENNIFER CAPRIATI had already dispatched Serena Williams, with a little help from the flawed human eye. Justine Henin-Hardenne was long gone, leaving a vacuum at the top of the draw."
81,Redskins top Lions,(11/08/04) The Washington Redskins grabbed a 17-to-10 win over the Detroit Lions at Ford Field. Clinton Portis ran for 147 yards on 34 carries and threw a tiebreaking touchdown pass.
82,Canada insistent on goal to slice vehicle emissions,OTTAWA - Two top Canadian ministers announced this week that they had resolved to cut global-warming emissions of cars and trucks sold in Canada by 25 percent by the end of the decade.
83,Kasprowicz causes dilemma,"AUSTRALIA captain Ricky Ponting says the form of Michael Kasprowicz has left the world champions with a problem to solve ahead of the ICC Champions Trophy, which gets underway in England this week."
84,New York AG to Sue Insurance Broker," NEW YORK (Reuters) - New York Attorney General Eliot  Spitzer on Thursday sued insurance broker Marsh   McLennan Cos.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMC.N target=/stocks/quickinfo/fullquote""&gt;MMC.N&lt;/A&gt;, charging they engaged in market manipulation."
85,Update 1: Lockheed to Cut 4Q Earnings on Suit Loss,Lockheed Martin Corp. Monday said a court ruling in its dispute with the Department of Energy and the state of Idaho will reduce fourth-quarter earnings by \$110 million.
86,They can #39;t turn down chance to turn corner,"inally, you can see the corner. It #39;s right there, waiting with all of its trappings. Get past it and you #39;re downwind. Get past it and everything is different."
87,Congress extends Bush tax cuts for middle class,Congress last night passed legislation extending some of President Bush #39;s most-popular middle-class tax cuts - giving Mr. Bush a win heading into the final campaign stretch before Election Day.
88,EADS Targets \$10 Billion in US Defense Revenue,"EADS is targeting \$10 billion in defense and security sales in the United States, its top managers said on Thursday, setting an ambitious goal for the European aerospace giant as it looks to crack the world #39;s richest defense market."
89,Prominent investment banker gets jail term,"Frank Quattrone, considered the most prominent investment banker of the 1990s technology boom, has been sentenced to 18 months in prison."
90,Graham finally admits he #39;s coach who turned in THG syringe,A mystery at the center of track and field #39;s biggest doping scandal has finally been solved. Top track coach Trevor Graham has admitted he was the coach who anonymously sent a syringe of THG to the US Anti 
91,Eisner Denies Seeing Ovitz as Threatening,"  GEORGETOWN, Del., Nov. 17 -- Lawyers for plaintiffs in a shareholder suit over Michael S. Ovitz's \$140 million severance package from the Walt Disney Co. suggested on Wednesday that Disney chief executive Michael D. Eisner may have viewed his former protege as threatening."
92,Revolution need final kick for playoff push,"Rusty Pierce symbolized the Revolution's break with the past when he joined the team in 2000. The Revolution had qualified for the MLS playoffs once in their first four seasons, then advanced to the playoffs in three of the next four."
93,Workers' Group Says EPA Censors Comments (Reuters),"Reuters - The U.S. Environmental Protection Agency\censored warnings that a Bush administration plan to build\roads in national forests could harm drinking water, a group\representing government workers said on Monday."
94,Markets punish Martha further,"Martha Stewart just can #39;t catch a break. Shares in her former company rose another 12 cents yesterday, to \$11.26, continuing a recovery that began soon after her conviction."
95,EDS Grounded Too?,"wait for it -- is a landlubber. Thursday, services firm EDS (NYSE: EDS) said the bankruptcy filing by US Airways could cut "
96,Sooners surprisingly sit third in BCS Standings,Southern California and Miami are 1-2 in the initial BCS Standings with Oklahoma -- despite being ranked second in both the ESPN/USA Today and AP polls -- third.
97,Microsoft #39;s CEO Steve Ballmer: We need a \$100 PC,"What #39;s one of Steve Ballmer #39;s biggest headaches? It #39;s not Linux or security breaches. It #39;s piracy, the Microsoft CEO said Wednesday."
98,first profit since merger,"Corus, Britain #39;s biggest steelmaker, yesterday reported its first profits since the merger of British Steel and Dutch rival Hoogovens five years ago."
99,Nikkei Up as Economic Optimism Grows," TOKYO (Reuters) - Japan's Nikkei average rose 0.39 percent  by midsession on Friday, bolstered by solid gains in stocks  dependent on domestic business such as Kao Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=4452.T target=/stocks/quickinfo/fullquote""&gt;4452.T&lt;/A&gt;."
100,Italy's Parmalat sues ex-auditors,Parmalat issues proceedings against its ex-auditors over their dealings with the insolvent group before its near collapse
101,"Vote counting under way in Afghan election, Karzai expected to win","KABUL, Afghanistan Early results show interim Afghan president Hamid Karzai leading in that country #39;s first free presidential election."
102,"Arctic warming is good news for oil companies, but not for &lt;b&gt;...&lt;/b&gt;",Scientists have worries about the Arctic warming as they have determined that the ice in Greenland and the Arctic is melting too rapidly .
103,Ireland to tour Japan,Ireland have set up a summer tour to Japan to coincide with the Lions trip to New Zealand. The Irish will play two Tests in Tokyo plus one warm-up game which has still to be decided.
104,P2P Battle Reaches FTC,"The trade commission hears what's right and wrong with file sharing, but there's no guarantee it will institute regulations. Michael Grebb reports from Washington."
105,Vijay doesn #39;t care if you like him; he #39;s No. 1 now," #39; #39;You guys look so sad, #39; #39; he told reporters after winning the Deutsche Bank Championship on Sunday.  #39; #39;Man, come on, it #39;s not the end of the world."
106,"Wireless to Drive Internet Growth, Tech Leaders Say","Wireless services will lead the next growth phase of the Internet as venture capitalists who helped fund the early boom open their wallets again, industry leaders said Monday."
107,US economic indicators fall; new jobless claims rise,"A gauge of future business activity fell in August, indicating company managers and US consumers remain uncertain about the economy."
108,Why The Open-Source Model Can Work In India,An Indian Institute of Technology professor--and open-source evangelist--discusses the role of Linux and open source in India. By Larry Greenemeier.
109,Hynix Under Investigation for Cooking Books,It has been revealed that Hynix Semiconductor (formerly Hyundai Electronics) cooked the books to nearly W2 trillion during the latter half of the 1990s and corrected the total misstated amount over several years.
110,Scoring leaders,"THE GIRLS Following are the leading scorers in EMass. Information is supplied by league representatives. PLAYER G A Pts 1. J. Vickers, Norwell 32 14 46 2. J. Leaverton, Feehan 26 13 39 3. B. Hogan, Bp. Feehan 26 12 38 3. J. Powers, Andover 24 14 38 5. M. Sheehan, Belmont 21 16 37 5. S. Leonard, Rockland 20 ..."
111,Pakistani firms answer call for cell phones,"Tens of thousands of Pakistanis endured hours of stifling heat this week to accept an offer of free mobile phone connections, a sign of the pent-up demand in a country where cell phone usage has remained low. "
112,Google Reports First Profit as Public Company,"Google's third-quarter profit more than doubled, reflecting a continued surge in the online advertising distributed by its Internet-leading search engine."
113,Freed UN electoral workers in Afghanistan look forward to resuming &lt;b&gt;...&lt;/b&gt;,24 November 2004 - Three United Nations election workers freed yesterday nearly a month after being abducted in Afghanistan today thanked the Afghan people for the support shown during their ordeal and said they were looking forward to getting back to 
114,Martha Stewart starts prison term,US lifestyle guru Martha Stewart begins a five-month prison term for lying about her investments.
115,"World Follows U.S. Race by Internet, TV (AP)","AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news."
116,UN Report: Anti-Terror War Still Losing,"The worldwide war on terror is still on the lose-side, as al-Qaeda is still posing as big a threat as ever, according to an alarming United Nations report."
117,Zimbabwe deports South African trade union fact finders,"HARARE : Zimbabwean immigration officials ordered a fact-finding mission from South Africa #39;s biggest trade union movement to leave after they defied a government ban, the leader of the South African team said."
118,Africa 'better in colonial times',"The average African is worse off now than during the colonial era, says the brother of South Africa's President Thabo Mbeki."
119,Krill decline raises concern for Antarctics food chain,"the heart of the rich Antarctic food chain that nourishes whales, seals and penguins -ave declined by more than 80 percent in the past 25 years in key ocean regions, according "
120,ANALYSIS: Hollywood studios fire heavy salvo in DVD format war,"True, Monday #39;s thunderbolt from Tinseltown may not be enough to settle the DVD format war. But in a synchronized cluster bomb of press releases, the powerful content producers have sent a clear message to "
121,Disney lawsuit lifts curtain on real-life Hollywood drama,"LOS ANGELES - This week CEO Michael Eisner tells a court his version of how Walt Disney Co. paid a severance package of \$140 million - yes, that #39;s for not working - to a former close friend after only 14 months at work."
122,"LeFors, Cardinals put Tulane in sorry state",NEW ORLEANS -- Stefan LeFors returned to his home state for the final time as a collegian and led Louisville to a record-setting performance.
123,"For Mexicans, a Chorus of Patriotism",Citizens of Mexico pause to celebrate 150th anniversary of the country's national anthem.
124,Nastase Concedes Defeat in Romanian Presidential Election,"Prime Minister Adrian Nastase said Monday he had conceded defeat in Romania's presidential runoff in a telephone call to opponent Traian Basescu, whom he called ""the future president of Romania."""
125,"After terror and invasion, Afghans vote (AFP)","AFP - Three years after the September 11 attacks on the United States changed the course of Afghanistan's history, the shattered nation votes Saturday in unprecedented presidential elections."
126,Roethlisberger-Manning matchup calls for measuring stick,"Eli Manning, the No. 1 pick of the New York Giants (and vice versa), is struggling in his role as the starter. Ben Roethlisberger, the 11th overall pick of the Pittsburgh Steelers, has won a rookie-record 11 straight starts."
127,Bowe Re-Enters Ring,"Fresh from being released from federal prison last May, former heavyweight champion Riddick Bowe has set up his first comeback bout for Sept. 25"
128,Mickelson goes back to Augusta to tune up,"Phil Mickelson is finishing off a record season for himself this week at The Tour Championship, but mentally he #39;s been through for a while."
129,Boy's Murder Case Entangled in Fight Over Antidepressants,One murder case has attracted special attention amid a debate over the safety of antidepressant use in children and teenagers.
130,The sounds of a revolution,"You can strap it around your arms or wind it around your neck while on your morning jog. And while you jog, you can listen to songs, download and store your personal CD albums directly, listen to FM radio "
131,Profile: Reaction Of Israelis To The Death Of Yasser Arafat And &lt;b&gt;...&lt;/b&gt;,Leaders and dignitaries from around the world are headed to Cairo for the funeral of Yasser Arafat. The Palestinian leader #39;s casket arrived there today on board a plane from Paris.
132,Sun pull into first place in East,"The Connecticut Sun spoiled Sue Bird #39;s return Sunday and pulled into first place in the process. Bird had nine points, seven assists and five rebounds in front of her former hometown "
133,Israeli tank fires shells at group in northern Gaza,"An Israeli tank fired two shells Thursday morning at a group of Palestinians in the town of Beit Lahiya in northern Gaza, killing two people, hospital officials said."
134,Ex-Computer Associates CEO Kumar Indicted (AP),"AP - Former Computer Associates International Inc. chairman and chief executive Sanjay Kumar has been charged with securities fraud, conspiracy and obstruction of justice in connection with a multibillion dollar accounting scandal at the software company."
135,Government Spending Up Sharply Locally," Federal procurement spending in the Washington area rose last year at its highest rate since the 1980s, according to a study to be released today, creating tens of thousands of jobs and increasing economic growth disproportionately in Northern Virginia."
136,Solberg wins first WRC event in Sardinia.,"Subaru team leader Petter Solberg has won the Rally Italia Sardinia today Sunday, dominating the event from the outset, and eventually taking the honours by 2 minutes 7.9 seconds."
137,China Bans Video Game for Breach of Sovereignty," BEIJING (Reuters) - China, sensitive about issues of  national sovereignty, has banned a computer sports game that  classifies Taiwan, Hong Kong, Macau and Tibet as countries and  has threatened to fine Web sites that supply the game and net  cafes that let patrons download it."
138,Stymiest quits TSX for Royal,Barbara Stymiest has resigned as chief executive of TSX Group Inc. to assume the newly created role of chief operating officer at Royal Bank of Canada.
139,Africa and its children,"ALERE, Uganda -- Kasmiro Bongonyinge remembers sitting up suddenly in his bed. It was just after sunrise on a summer morning two years ago, and the old man, 87 years old and blind, knew something was wrong."
140,Brown to press for  #39;Marshall Plan for Africa #39;,"Gordon Brown has declared that the creation of a  quot;Marshall Plan for Africa quot; is at the heart of the government #39;s agenda for its presidency of the Group of Eight in 2005, seeking "
141,Starbucks launches first of  quot;music bars quot; for CD burning,"SEATTLE, United States : Coffee shop giant Starbucks said it was launching the first of its  quot;music bars quot; where customers can listen to digital recordings and burn their own CDs."
142,Bush Agrees to Consider Textile Limits,"On Friday, just days before the presidential election, the Bush administration agreed to consider a petition from a coalition of embattled textile manufacturers that would limit some imports from China."
143,Polls point to Howard victory,Australians vote in less than 24 hours to choose a new government with most key pointers suggesting the incumbent conservative coalition of Prime Minister John Howard will be returned.
144,Swiss Army Medicine (Forbes.com),"Forbes.com - Early last year 61-year-old Judy Norris was ready to stop all treatment and let her cancer run its course. Her kidney tumor, diagnosed in 1997, had spread to her abdomen, pancreas and both lungs. Six months of treatment with toxic interleukin-2, one of the only treatments for advanced kidney cancer, had eroded nerves in her hands and feet, caused frequent vomiting and made her skin peel all over--but did nothing to slow the tumors' relentless growth. In June, in a last-ditch effort to save her life, her oncologist recommended an experimental pill from Pfizer called SU11248. ..."
145,Red Sox Induct Alumni Into Team Shrine (AP),"AP - Pedro Martinez, Jason Varitek and more than a dozen other Red Sox free agents might want to take advice from some people who know: Stay in Boston, or you'll regret it."
146,Federer beats Roddick again,"For the third time this year, Roger Federer defeated Andy Roddick to win a tournament - the top seed easily winning 6-4, 6-0 to pick up the \$550,000 Thailand Open."
147,How To Make Phone Calls Online,"E-mailing your best pal in Thailand or family in Toledo is cheaper than running up a long-distance phone bill. But even brimming with smiley emoticons, text messages lack a certain personal touch."
148,Chelsea overpower champions Porto,"LONDON, England -- Jose Mourinho #39;s new club Chelsea defeated his old side Porto 3-1 to leave the European champions with an uphill battle to qualify from Group H of the Champions League."
149,Iran Will Likely Freeze Nuke Enrichment-Official,"A senior Iranian official said on Thursday he was optimistic Iran would halt its uranium enrichment program as Europe demands, in a move aimed "
